qbuy=222, qsell=448, result=3.72, curtime=23.06.01 07:47:04
time     oper price  orderid     q   qd  qr  canceltime orders   operations   status
16:02:07 s    5.32   36328329151 2   2   0   None       18:01:01     18:01:58     executed
19:07:05 s    5.32   36334827765 2   2   0   None       None         19:07:44     executed
15:13:49 b    5.32   36326585496 2   2   0   None       None         15:14:40     executed
15:13:50 s    5.316  36326586186 2   2   0   None       None         15:14:40     executed
15:13:57 b    5.31   36326589151 2   2   0   None       None         15:14:40     executed
15:13:59 s    5.32   36326589683 2   2   0   None       15:15:23     15:15:37     executed
16:02:09 s    5.32   36328330032 2   2   0   None       17:29:00     17:29:00     executed
19:07:06 s    5.32   36334828263 2   2   0   None       None         19:07:44     executed
15:16:56 b    5.32   36326708856 2   2   0   None       None         15:17:35     executed
15:16:57 s    5.324  36326709671 2   2   0   None       18:02:09     18:02:58     executed
16:02:10 s    5.324  36328330849 2   2   0   None       18:02:09     18:02:58     executed
19:07:08 s    5.324  36334828921 2   2   0   None       None         19:07:44     executed
15:17:15 b    5.32   36326726961 2   2   0   None       None         15:17:35     executed
15:17:17 s    5.32   36326728143 2   2   0   None       17:35:34     17:36:01     executed
16:02:12 s    5.32   36328331531 2   2   0   None       17:44:05     17:44:53     executed
19:07:09 s    5.32   36334829448 2   2   0   None       None         19:07:44     executed
15:44:05 b    5.31   36327706510 2   2   0   None       None         15:44:19     executed
15:44:06 s    5.316  36327707145 2   2   0   None       15:44:38     15:45:18     executed
16:02:13 s    5.316  36328332217 2   2   0   None       16:13:28     16:14:42     executed
19:07:10 s    5.32   36334830463 2   2   0   None       None         19:07:44     executed
15:44:36 b    5.31   36327723230 2   2   0   None       None         15:45:18     executed
15:44:38 s    5.32   36327724765 2   2   0   None       17:44:05     17:44:53     executed
16:02:14 s    5.32   36328333095 2   2   0   None       17:44:05     17:44:53     executed
19:07:12 s    5.32   36334830997 2   2   0   None       None         19:07:44     executed
15:46:33 b    5.31   36327793974 2   2   0   None       None         15:47:15     executed
15:46:34 s    5.316  36327794550 2   2   0   None       16:13:28     16:14:42     executed
16:02:16 s    5.316  36328333980 2   2   0   None       16:13:28     16:14:42     executed
19:07:13 s    5.32   36334831828 2   2   0   None       None         19:07:44     executed
16:02:18 b    5.31   36328334827 2   2   0   None       None         16:03:13     executed
16:02:19 s    5.316  36328336267 2   2   0   None       16:42:29     16:43:04     executed
19:07:14 s    5.32   36334832182 2   2   0   None       None         19:07:44     executed
16:06:52 b    5.31   36328511097 2   2   0   None       None         16:07:14     executed
16:06:54 s    5.31   36328512001 2   2   0   None       16:08:08     16:08:16     executed
19:07:16 s    5.32   36334832562 2   2   0   None       None         19:07:44     executed
16:08:01 b    5.31   36328554263 2   2   0   None       None         16:08:16     executed
16:08:02 s    5.316  36328555104 2   2   0   None       16:42:29     16:43:04     executed
19:07:17 s    5.32   36334833117 2   2   0   None       None         19:07:44     executed
16:21:42 b    5.31   36329328200 2   2   0   None       None         16:21:57     executed
16:21:43 s    5.31   36329329214 2   2   0   None       16:33:09     16:33:56     executed
19:07:19 s    5.32   36334833945 2   2   0   None       None         19:07:44     executed
16:22:10 b    5.31   36329346681 2   2   0   None       None         16:23:08     executed
16:22:11 s    5.316  36329347221 2   2   0   None       16:42:29     16:43:04     executed
19:07:20 s    5.32   36334834507 2   2   0   None       None         19:07:44     executed
16:22:24 b    5.31   36329355408 2   2   0   None       None         16:23:08     executed
16:22:26 s    5.31   36329358032 2   2   0   None       16:33:09     16:33:56     executed
19:07:21 s    5.32   36334834961 2   2   0   None       None         19:07:44     executed
16:22:33 b    5.31   36329364908 2   2   0   None       None         16:23:08     executed
16:22:35 s    5.316  36329365954 2   2   0   None       16:42:35     16:43:04     executed
19:07:23 s    5.32   36334835422 2   2   0   None       None         19:07:44     executed
16:23:38 b    5.31   36329410786 2   2   0   None       None         16:24:09     executed
16:23:39 s    5.31   36329411655 2   2   0   None       16:33:09     16:33:56     executed
19:07:24 s    5.32   36334835922 2   2   0   None       None         19:07:44     executed
16:32:18 b    5.31   36329795932 2   2   0   None       None         16:32:58     executed
16:32:20 s    5.316  36329796918 2   2   0   None       16:42:35     16:43:04     executed
19:07:25 s    5.32   36334836311 2   2   0   None       None         19:07:44     executed
16:42:53 b    5.32   36330284761 2   2   0   None       None         16:43:04     executed
16:42:55 s    5.32   36330286160 2   2   0   None       18:01:01     18:01:58     executed
